127.0.0.1 - - [09/Feb/2017:14:27:10 -0200] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [09/Feb/2017:14:27:12 -0200] "GET /Vendas/pages/autenticacao.xhtml HTTP/1.1" 200 3732
0:0:0:0:0:0:0:1 - - [09/Feb/2017:14:27:12 -0200] "GET /Vendas/javax.faces.resource/primefaces.js.xhtml;jsessionid=8B85FC3F2F986D78179A5886BEE1419C?ln=primefaces&v=5.3 HTTP/1.1" 200 350170
0:0:0:0:0:0:0:1 - - [09/Feb/2017:14:27:12 -0200] "GET /Vendas/javax.faces.resource/theme.css.xhtml?ln=primefaces-excite-bike HTTP/1.1" 200 18669
0:0:0:0:0:0:0:1 - - [09/Feb/2017:14:27:12 -0200] "GET /Vendas/javax.faces.resource/jquery/jquery.js.xhtml;jsessionid=8B85FC3F2F986D78179A5886BEE1419C?ln=primefaces&v=5.3 HTTP/1.1" 200 107783
0:0:0:0:0:0:0:1 - - [09/Feb/2017:14:27:12 -0200] "GET /Vendas/javax.faces.resource/primefaces.css.xhtml;jsessionid=8B85FC3F2F986D78179A5886BEE1419C?ln=primefaces&v=5.3 HTTP/1.1" 200 70787
0:0:0:0:0:0:0:1 - - [09/Feb/2017:14:27:12 -0200] "GET /Vendas/javax.faces.resource/jquery/jquery-plugins.js.xhtml;jsessionid=8B85FC3F2F986D78179A5886BEE1419C?ln=primefaces&v=5.3 HTTP/1.1" 200 243000
0:0:0:0:0:0:0:1 - - [09/Feb/2017:14:27:13 -0200] "GET /Vendas/javax.faces.resource/images/ui-bg_highlight-soft_100_f9f9f9_1x100.png.xhtml?ln=primefaces-excite-bike HTTP/1.1" 200 88
0:0:0:0:0:0:0:1 - - [09/Feb/2017:14:27:13 -0200] "GET /Vendas/javax.faces.resource/images/ui-bg_diagonals-thick_22_1484e6_40x40.png.xhtml?ln=primefaces-excite-bike HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [09/Feb/2017:14:27:13 -0200] "GET /Vendas/javax.faces.resource/images/ui-bg_inset-hard_100_eeeeee_1x100.png.xhtml?ln=primefaces-excite-bike HTTP/1.1" 200 91
0:0:0:0:0:0:0:1 - - [09/Feb/2017:14:27:13 -0200] "GET /Vendas/javax.faces.resource/images/ui-bg_flat_0_e6b900_40x100.png.xhtml?ln=primefaces-excite-bike HTTP/1.1" 200 181
0:0:0:0:0:0:0:1 - - [09/Feb/2017:14:27:13 -0200] "GET /favicon.ico HTTP/1.1" 404 1016
