127.0.0.1 - - [14/Mar/2017:02:11:55 -0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:11:56 -0300] "GET /Vendas/WEB-INF/classes/com/ciadainformatica/vendas/util/AutenticacaoListener.java HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:11:56 -0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:12:04 -0300] "GET /Vendas/pages/vendas.xhtml HTTP/1.1" 200 3733
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:12:04 -0300] "GET /Vendas/javax.faces.resource/theme.css.xhtml?ln=primefaces-excite-bike HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:12:04 -0300] "GET /Vendas/javax.faces.resource/jquery/jquery.js.xhtml;jsessionid=8DF82F92E2D45FB517E2C6E6319DEEDA?ln=primefaces&v=5.3 HTTP/1.1" 200 107783
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:12:04 -0300] "GET /Vendas/javax.faces.resource/primefaces.js.xhtml;jsessionid=8DF82F92E2D45FB517E2C6E6319DEEDA?ln=primefaces&v=5.3 HTTP/1.1" 200 350170
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:12:04 -0300] "GET /Vendas/javax.faces.resource/jquery/jquery-plugins.js.xhtml;jsessionid=8DF82F92E2D45FB517E2C6E6319DEEDA?ln=primefaces&v=5.3 HTTP/1.1" 200 243000
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:12:04 -0300] "GET /Vendas/javax.faces.resource/primefaces.css.xhtml;jsessionid=8DF82F92E2D45FB517E2C6E6319DEEDA?ln=primefaces&v=5.3 HTTP/1.1" 200 70787
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:12:05 -0300] "GET /Vendas/javax.faces.resource/images/ui-bg_inset-hard_100_eeeeee_1x100.png.xhtml?ln=primefaces-excite-bike HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:12:05 -0300] "GET /Vendas/javax.faces.resource/images/ui-bg_highlight-soft_100_f9f9f9_1x100.png.xhtml?ln=primefaces-excite-bike HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:12:05 -0300] "GET /Vendas/javax.faces.resource/images/ui-bg_diagonals-thick_22_1484e6_40x40.png.xhtml?ln=primefaces-excite-bike HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:12:05 -0300] "GET /Vendas/javax.faces.resource/images/ui-bg_flat_0_e6b900_40x100.png.xhtml?ln=primefaces-excite-bike HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:12:26 -0300] "POST /Vendas/pages/autenticacao.xhtml;jsessionid=8DF82F92E2D45FB517E2C6E6319DEEDA HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:12:27 -0300] "GET /Vendas/pages/principal.xhtml HTTP/1.1" 200 5402
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:12:27 -0300] "GET /Vendas/javax.faces.resource/estilo.css.xhtml?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:12:27 -0300] "GET /Vendas/javax.faces.resource/dock/dock.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:12:27 -0300] "GET /Vendas/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:12:27 -0300] "GET /Vendas/javax.faces.resource/theme.css.xhtml?ln=primefaces-excite-bike HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:12:27 -0300] "GET /Vendas/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:12:27 -0300] "GET /Vendas/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:12:27 -0300] "GET /Vendas/javax.faces.resource/primefaces.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:12:27 -0300] "GET /Vendas/javax.faces.resource/dock/dock.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:12:27 -0300] "GET /Vendas/resources/images/cancelar.png HTTP/1.1" 200 23428
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:12:27 -0300] "GET /Vendas/javax.faces.resource/images/ui-bg_highlight-soft_100_f9f9f9_1x100.png.xhtml?ln=primefaces-excite-bike HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:02:12:38 -0300] "GET /Vendas/pages/cancelarVenda.xhtml HTTP/1.1" 200 18074
