127.0.0.1 - - [28/Apr/2017:09:56:41 -0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [28/Apr/2017:09:56:45 -0300] "GET /Vendas/pages/inicio.xhtml HTTP/1.1" 500 14328
0:0:0:0:0:0:0:1 - - [28/Apr/2017:09:57:26 -0300] "GET /Vendas/pages/inicio.xhtml HTTP/1.1" 200 3732
0:0:0:0:0:0:0:1 - - [28/Apr/2017:09:57:27 -0300] "GET /Vendas/javax.faces.resource/jquery/jquery.js.xhtml;jsessionid=22CAC3692B341F3831A261BDB1E71786?ln=primefaces&v=5.3 HTTP/1.1" 200 107783
0:0:0:0:0:0:0:1 - - [28/Apr/2017:09:57:27 -0300] "GET /Vendas/javax.faces.resource/theme.css.xhtml?ln=primefaces-excite-bike HTTP/1.1" 200 18669
0:0:0:0:0:0:0:1 - - [28/Apr/2017:09:57:27 -0300] "GET /Vendas/javax.faces.resource/primefaces.js.xhtml;jsessionid=22CAC3692B341F3831A261BDB1E71786?ln=primefaces&v=5.3 HTTP/1.1" 200 350170
0:0:0:0:0:0:0:1 - - [28/Apr/2017:09:57:27 -0300] "GET /Vendas/javax.faces.resource/primefaces.css.xhtml;jsessionid=22CAC3692B341F3831A261BDB1E71786?ln=primefaces&v=5.3 HTTP/1.1" 200 70787
0:0:0:0:0:0:0:1 - - [28/Apr/2017:09:57:27 -0300] "GET /Vendas/javax.faces.resource/jquery/jquery-plugins.js.xhtml;jsessionid=22CAC3692B341F3831A261BDB1E71786?ln=primefaces&v=5.3 HTTP/1.1" 200 243000
0:0:0:0:0:0:0:1 - - [28/Apr/2017:09:57:27 -0300] "GET /Vendas/javax.faces.resource/images/ui-bg_highlight-soft_100_f9f9f9_1x100.png.xhtml?ln=primefaces-excite-bike HTTP/1.1" 200 88
0:0:0:0:0:0:0:1 - - [28/Apr/2017:09:57:27 -0300] "GET /Vendas/javax.faces.resource/images/ui-bg_diagonals-thick_22_1484e6_40x40.png.xhtml?ln=primefaces-excite-bike HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [28/Apr/2017:09:57:27 -0300] "GET /Vendas/javax.faces.resource/images/ui-bg_inset-hard_100_eeeeee_1x100.png.xhtml?ln=primefaces-excite-bike HTTP/1.1" 200 91
0:0:0:0:0:0:0:1 - - [28/Apr/2017:09:57:27 -0300] "GET /Vendas/javax.faces.resource/images/ui-bg_flat_0_e6b900_40x100.png.xhtml?ln=primefaces-excite-bike HTTP/1.1" 200 181
0:0:0:0:0:0:0:1 - - [28/Apr/2017:09:57:37 -0300] "GET /Vendas/javax.faces.resource/images/ui-bg_diagonals-thick_26_2293f7_40x40.png.xhtml?ln=primefaces-excite-bike HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [28/Apr/2017:09:57:37 -0300] "POST /Vendas/pages/autenticacao.xhtml;jsessionid=22CAC3692B341F3831A261BDB1E71786 HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [28/Apr/2017:09:57:37 -0300] "GET /Vendas/pages/inicio.xhtml HTTP/1.1" 200 5968
0:0:0:0:0:0:0:1 - - [28/Apr/2017:09:57:37 -0300] "GET /Vendas/javax.faces.resource/estilo.css.xhtml?ln=css HTTP/1.1" 200 180
0:0:0:0:0:0:0:1 - - [28/Apr/2017:09:57:37 -0300] "GET /Vendas/javax.faces.resource/dock/dock.css.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 200 785
0:0:0:0:0:0:0:1 - - [28/Apr/2017:09:57:38 -0300] "GET /Vendas/javax.faces.resource/theme.css.xhtml?ln=primefaces-excite-bike HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:09:57:38 -0300] "GET /Vendas/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 200 243000
0:0:0:0:0:0:0:1 - - [28/Apr/2017:09:57:38 -0300] "GET /Vendas/javax.faces.resource/dock/dock.js.xhtml?ln=primefaces&v=5.3 HTTP/1.1" 200 6861
